_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
1000	Power	(R/W)Power 	W	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1001	Temp1	(R)Temp1	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1002	WW1_Temp_max	(R/W)WW1 Temp max	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1003	Status	(R)Status		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1004	Power_timout	(R/W)Power timeout	sec	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1005	Boost_mode	(R/W)Boost mode 	0: off, 1: on, 3: relay boost on	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1006	WW1_min	(R/W)WW1 min	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1007	Boost_time_1_start	(R/W)Boost time 1 start	0-23 hrs	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1008	Boost_time_1_stop	(R/W)Boost time 1 stop	0-24 hrs	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1009	Hour	(R/W)Hour	0-23	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1010	Minute	(R/W)Minute	0-59	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1011	Second	(R/W)Second	0-59	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1012	Boost_activate	(R/W)Boost activate		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1013	AC-THOR_Number	(R/W)AC-THOR Number		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1014	max_Power	(R/W)max Power		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1015	tempchip	(R)tempchip	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1026	Boost_time_2_start	(R/W)Boost time 2 start		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1027	Boost_time_2_stop	(R/W)Boost time 2 stop		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1030	Temp_2	(R)Temp 2	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1031	Temp_3	(R)Temp 3	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1032	Temp_4	(R)Temp 4	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1033	Temp_5	(R)Temp 5	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1034	Temp_6	(R)Temp 6	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1035	Temp_7	(R)Temp 7	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1036	Temp_8	(R)Temp 8	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1037	WW_2_max	(R/W)WW 2 max	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1038	WW_3_max	(R/W)WW 3 max	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1039	WW_2_min	(R/W)WW 2 min	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1040	WW_3_min	(R/W)WW 3 min	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1041	RH1_max	(R/W)RH1 max	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1042	RH2_max	(R/W)RH2 max	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1043	RH3_max	(R/W)RH3 max	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1044	RH1_day_min	(R/W)RH1 day min	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1045	RH2_day_min	(R/W)RH2 day min	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1046	RH3_day_min	(R/W)RH3 day min	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1047	RH1_night_min	(R/W)RH1 night min	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1048	RH2_night_min	(R/W)RH2 night min	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1049	RH3_night_min	(R/W)RH3 night min	°C	uint16be	1	0.1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1050	Night_flag	(R)Night flag	0 day 1 night	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1051	UTC_correction	(R/W)UTC correction		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1052	DST_correction	(R/W)DST correction		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1053	Legionella_interval	(R/W)Legionella interval	days	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1054	Legionella_start	(R/W)Legionella start	hrs	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1055	Legionella_temp	(R/W)Legionella temp	°C	uint16be	1	1	0		value.temperature	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1056	Legionella_mode	(R/W)Legionella mode		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1057	Stratification_flag	(R)Stratification flag		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1058	Relay_1_status	(R)Relay 1 status		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1059	load_state	(R)load state		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1060	load_nominal_power	(R)load nominal power	W	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1061	UL1	(R)UL1	V	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1062	IL1	(R)IL1	A	uint16be	1	0.1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1063	U_Out	(R)U Out		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1064	Freq	(R)Freq	Hz	uint16be	1	0.001	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1065	Operation_mode	(R/W)Operation mode	1-7 	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1066	Access_Level	(R/W)Access Level		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1069	Meter_Power	(R)Meter Power		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1070	Control_type	(R/W)Control type		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1071	Pmax_abs	(R)Pmax abs		uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
1077	operation_state	(R)Operation Status	0-5	uint16be	1	1	0		value	enum.rooms.komplett.basement__cellar.boiler_room	true	false	false	false
